Own BIC,Correspondent,R. Status,R. Restr.,S. Status,S. Restr.,Correspondent Name
MHCBINBB,BEGODEHH,Enabled," ",Enabled," ","JOH. BERENBERG,GOSSLER UND CO.KG"
MHCBINBB,BEIIIDJA,Revoked," ",Deleted," ",
MHCBINBB,BEPOIT22,Revoked," "," "," ",
MHCBINBB,BEXADZAL,Enabled," ",Enabled," ",BANQUE EXTERIEURE D'ALGERIE
MHCBINBB,BFRPARBA,Enabled," ",Enabled," ",BBVA - BANCO FRANCES S.A.
MHCBINBB,BGENIT2T,Enabled," ",Enabled," ",BANCA GENERALI SPA
MHCBINBB,BHFBDEFF,Revoked," ",Revoked," ",ODDO BHF AKTIENGESELLSCHAFT
MHCBINBB,BIATTNTT,Enabled," ",Enabled," ",BANQUE INTERNATIONALE ARABE DE TUNISIE
MHCBINBB,BICHCLRM,Revoked," ",Deleted," ",BANCO INTERNACIONAL
MHCBINBB,BIDVVNVX,Enabled," ",Enabled," ",JOINT STOCK COMMERCIAL BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM
MHCBINBB,BIMEMXMM,Rejected," ",Revoked," ","HSBC MEXICO, S.A., INSTITUCION DE BANCA MULTIPLE, GRUPO FINANCIERO HSBC"
MHCBINBB,BINHCN2N,Enabled," ",Enabled," ",NINGBO COMMERCE BANK
MHCBINBB,BJCNCNBJ,Enabled," ",Enabled," ",BANK OF BEIJING
MHCBINBB,BKCHCNBJ,Enabled," ",Enabled," ",BANK OF CHINA
MHCBINBB,BKCHFRPP,Rejected," ",Revoked," ","BANK OF CHINA, PARIS BRANCH"
MHCBINBB,BKCHHKHH,Rejected," ",Revoked," ",BANK OF CHINA (HONG KONG) LIMITED
MHCBINBB,BKCHIDJA,Rejected," ",Revoked," ","BANK OF CHINA, JAKARTA BRANCH"
MHCBINBB,BKCHJPJT,Rejected," ",Revoked," ",BANK OF CHINA
MHCBINBB,BKCHKRSE,Rejected/Pending Reject Confirmation," ",Revoked/Pending Revoke Confirmation," ",BANK OF CHINA SEOUL BRANCH
MHCBINBB,BKCHMOMX,Rejected," ",Revoked," ","BANK OF CHINA, MACAU BRANCH"
MHCBINBB,BKCHSGSG,Rejected," ",Revoked," ",BANK OF CHINA LIMITED
MHCBINBB,BKFSCNBF,Enabled," ",Enabled," ","BANK OF FUSHUN CO.,LTD"
MHCBINBB,BKIDINBB,Rejected," "," "," ",BANK OF INDIA
MHCBINBB,BKIDJPJT,Enabled," ",Enabled," ",BANK OF INDIA
MHCBINBB,BKKBHKHH,Rejected," ",Revoked," ",BANGKOK BANK PUBLIC COMPANY LIMITED HONG KONG BRANCH
MHCBINBB,BKKBTHBK,Enabled," ",Enabled," ",BANGKOK BANK PUBLIC COMPANY LIMITED
MHCBINBB,BKKBUS33,Enabled," "," "," ","BANGKOK BANK PUBLIC COMPANY LIMITED, NEW YORK"
MHCBINBB,BKNBCN2N,Enabled," ",Enabled," ",BANK OF NINGBO
MHCBINBB,BKNZNZ22,Enabled," ",Enabled," ",BANK OF NEW ZEALAND
MHCBINBB,BKSACLRM,Rejected/Pending Reject Confirmation," ",Revoked/Pending Revoke Confirmation," ",SCOTIABANK CHILE
MHCBINBB,BKTRUS33,Enabled," ",Enabled," ",DEUTSCHE BANK TRUST COMPANY AMERICAS
MHCBINBB,BKTWTWTP,Enabled," ",Enabled," ",BANK OF TAIWAN
MHCBINBB,BLICGB2L," "," ",Revoked," ","HSBC BANK USA, N.A."
MHCBINBB,BLICHKHK,Rejected," ",Revoked," ",HSBC PRIVATE BANK (SUISSE) SA
MHCBINBB,BLICSGSX,Rejected," ",Revoked," ",
MHCBINBB,BMCEMAMC,Enabled," "," "," ",BANQUE MAROCAINE DU COMMERCE EXTERIEUR
MHCBINBB,BMCIMAMC,Rejected," "," "," ",BANQUE MAROCAINE POUR LE COMMERCE ET L'INDUSTRIE
MHCBINBB,BMRIIDJA,Rejected," ",Revoked," ","BANK MANDIRI (PERSERO), PT"
MHCBINBB,BMSXMXMM,Rejected," ",Revoked," ","BANCO SANTANDER (MEXICO), S.A., INSTITUCION DE BANCA MULTIPLE, GRUPO FINANCIERO SANTANDER"
MHCBINBB,BMUSOMRX,Enabled," ",Enabled," ",BANK MUSCAT SAOG
MHCBINBB,BNALDZAL,Enabled," ",Enabled," ",BANQUE NATIONALE D'ALGERIE
MHCBINBB,BNGRGRAA,Enabled," ",Enabled," ",BANK OF GREECE
MHCBINBB,BNLIITRR,Rejected," "," "," ",BANCA NAZIONALE DEL LAVORO S.P.A.
MHCBINBB,BNORPHMM,Enabled," ",Enabled," ","BDO UNIBANK, INC."
MHCBINBB,BNPAAEAD,Rejected," ",Revoked," ","BNP PARIBAS, DUBAI"
